"beta0","betaExR","omega","alpha","gamma","phi","betaGDP","betaDebt"
0.00150466282069058,0.292922968814439,-1.20132104616641,0.596738676605744,0.0190844195425981,0.834829783483208,-0.173001980742051,0.201055554160689
0.00110068589948739,0.213145674034516,-1.52678581466946,0.514028377704569,0.213530599246776,0.792997108866941,-0.152966013789186,0.280932992326944
0.000657677928470338,0.352306189621815,-2.05706273797994,0.503091045511693,0.232128934329746,0.739227165638621,-0.105846220597693,0.388641136968143
0.00119800827393409,0.277684082607711,-1.41857270385141,0.415561267106889,0.220620978432873,0.819156977647078,-0.155462455398357,0.211996208465453
0.00109005002808628,0.140797265720167,-1.54520110622126,0.494829470156893,0.202992813262403,0.798881537191677,-0.0516319413719585,0.273672301108939
0.00138208187547644,0.274392876636002,-1.23977929270044,0.44185791378487,0.131282469714291,0.83663070954692,-0.172944473248923,0.176185966641192
0.000398712386620578,0.355817945283889,-1.34643949456633,0.547726336904271,0.151893184466733,0.815456536010588,-0.0733018101717381,0.359585543980492
0.000473224899837293,0.328431906066553,-2.11935417793935,0.616167778744664,0.321603265606132,0.719224919804459,-0.146325554075622,0.429269774424171
0.000930392856087001,0.41559806550312,-2.20793855564456,0.409419856423059,0.335705450780293,0.721515980580337,-0.131723849021819,0.329571648206809
0.0011760007006497,0.322160662508717,-1.42643074930339,0.456799727784077,0.245223346220263,0.812424535112923,-0.20344954117776,0.155118793820172
0.001084344495614,0.340484820141709,-1.34211562859356,0.431847985112865,0.111855593451994,0.825005927322882,-0.138631719453865,0.228322670462552
0.000698779162761826,0.434029955343283,-1.95586937394711,0.524620820733269,0.276086426059578,0.747949396650893,-0.220021852177243,0.342241646112843
0.00023496268876534,0.330817585612831,-1.64080099141039,0.381914506906771,0.271901074191205,0.793404131994839,-0.221802087945972,0.219377219622408
0.00113478954050452,0.396352622591508,-1.83680469674213,0.411201740834807,0.278054479282514,0.761695969823208,-0.240232765166552,0.23890999258053
0.000992685241671813,0.293503269361001,-1.50906629951158,0.516467263860881,0.1737550163845,0.800557611279486,-0.174509324517879,0.255165684230297
0.00191521248568243,0.435258512553036,-1.85616668600275,0.310191415572475,0.336591707292011,0.770218602197847,-0.182784119536734,0.207981997949006
0.00110622701856759,0.398443798161443,-1.86961591719624,0.349404714676112,0.162480335593585,0.764791532006653,-0.18209440837865,0.229414050713743
0.000833281132273215,0.407163002931848,-1.92862317600704,0.46574535196921,0.245637048540661,0.756753217009576,-0.145258168298642,0.253632831237048
0.00136332054615035,0.397019859433562,-1.86411147463934,0.463673340130262,0.242889279328597,0.759570338766327,-0.134836564628317,0.274342553143726
0.000215410595207775,0.206765257580015,-1.41007293447066,0.646486077791397,-0.0275467446626732,0.797984810320422,-0.129919556853442,0.24323385923
0.00159106261012931,0.333941555348512,-1.96705439791551,0.394319411917821,0.25097922858375,0.75535881861509,-0.105451784124552,0.318513485266441
0.000867577263390938,0.28976931876181,-1.67208684239409,0.550663127882788,0.2445349943259,0.77614251737808,-0.12126487807901,0.305411800818381
0.00188386191252039,0.347692119269906,-1.17097927071583,0.5503897263434,0.150326111187402,0.836757411125582,-0.200344260373676,0.189134040418898
0.000936543643500496,0.319881141636355,-2.03903746648391,0.495099368868771,0.214620025436388,0.740603146183824,-0.0588403078955801,0.386937862386715
0.00141666919873048,0.461209270426033,-1.70130425446887,0.403903760182043,0.172648123496712,0.786221894002822,-0.204216275425783,0.251505893988746
0.000992323832393837,0.323267893524363,-1.79446784630107,0.392255739464342,0.32236711577985,0.770762931053498,-0.141804702200925,0.317623712647777
0.000166968934810131,0.30240449549347,-1.99584505629968,0.447488292809386,0.224376411607903,0.74628343563312,-0.183421828849874,0.376561648833549
0.0013855239657933,0.377113515103451,-2.47062510959824,0.306280021623114,0.446487882142202,0.699284289591045,-0.0537936323931881,0.365475960253078
0.00118799772393058,0.353811266400641,-2.74050606820363,0.365025790857306,0.410672707986848,0.662798788066841,-0.154984203560937,0.359773851813752
0.000467427709294819,0.430367487330079,-2.58344572671767,0.193522921943022,0.506930612885438,0.690537750277682,-0.258093887703274,0.26679057761227
0.000996096084042491,0.212093290466265,-2.14705718957567,0.385557206971045,0.36506582195461,0.734336955848814,-0.0851860952969581,0.291971477790789
0.00240441586770911,0.402015318684154,-1.59767949632929,0.417837868466157,0.151760943741553,0.798253225294559,-0.210084134335296,0.207428276444817
0.00123845071678196,0.432193078904177,-1.73777921914145,0.444768748503797,0.175517123297213,0.781562565667918,-0.132336179356072,0.261149134255579
0.000983471651425327,0.332027508101127,-2.19630617237742,0.457107575877769,0.253427311575163,0.728701885943119,-0.113392550155954,0.40725202703014
0.000678007084745505,0.399520841439277,-1.89149178449357,0.469676478262717,0.309567036549883,0.751289185994258,-0.187261070100798,0.292133874654942
