"date","h_median","h_lo","h_hi","vol_median","vol_lo","vol_hi"
2006-05-01,3.66956636970244e-05,2.04938501577643e-05,6.3981578598373e-05,0.00605769458598108,0.00452701338166393,0.00799884857953775
2006-06-01,2.64877400807612e-05,1.40959398811299e-05,4.83551759033079e-05,0.00514662414411245,0.0037544560033552,0.00695378860070594
2006-07-01,2.0527562353559e-05,1.03350590143237e-05,3.95680658307638e-05,0.0045307352994364,0.00321481865963287,0.00629031524096876
2006-08-01,1.74596283937721e-05,8.60447358862822e-06,3.43972346492728e-05,0.00417847201663145,0.00293333830108772,0.0058649155705153
2006-09-01,1.49839513632265e-05,7.09075272873079e-06,3.07500477029307e-05,0.00387091092163414,0.0026628467339918,0.00554527255443145
2006-10-01,1.32800224555324e-05,6.06311512302219e-06,2.80582879315748e-05,0.00364417651267504,0.002462339359841,0.00529700745058706
2006-11-01,1.18910040847159e-05,5.24001548828722e-06,2.59079282218365e-05,0.00344833352283619,0.00228910801149426,0.00508998312588918
2006-12-01,1.08310719766811e-05,4.63682651521248e-06,2.45036850220176e-05,0.00329105940035744,0.00215332917019495,0.00495011969774647
2007-01-01,1.01000638982195e-05,4.21771478981674e-06,2.35004371654267e-05,0.00317805976945361,0.00205370757164129,0.00484772494737756
2007-02-01,1.0109895222036e-05,4.21454095493037e-06,2.35835046390197e-05,0.00317960614259628,0.00205293471764944,0.00485628506566693
2007-03-01,1.05648544457712e-05,4.43603191085712e-06,2.43872019071985e-05,0.00325036220224319,0.00210618895421496,0.00493833999509942
2007-04-01,1.22410363255698e-05,5.529604340445e-06,2.6450636981444e-05,0.00349871924074651,0.00235151107597753,0.0051430182754336
2007-05-01,1.43995279010505e-05,6.92257558216166e-06,2.93578443527735e-05,0.00379467098719381,0.00263107878676441,0.00541828795402879
2007-06-01,1.90394601382057e-05,1.02541894256065e-05,3.50774641037044e-05,0.00436342298410384,0.00320221633023232,0.00592262307628169
2007-07-01,2.348186392583e-05,1.32316923053212e-05,4.10754047317182e-05,0.00484580890314816,0.00363753932010655,0.00640900965295873
2007-08-01,2.76315055593996e-05,1.7876086571136e-05,4.54880574634908e-05,0.0052565678497856,0.00422801212996557,0.00674448348381778
2007-09-01,3.65631668670668e-05,2.42596281802808e-05,5.66831739392345e-05,0.00604674845409223,0.00492540639747431,0.00752882287872643
2007-10-01,4.72687416887009e-05,3.12329477089933e-05,7.38332853186584e-05,0.00687522666453266,0.00558864453235248,0.0085926297091553
2007-11-01,7.11483084516157e-05,4.0743312587644e-05,0.000127100049208908,0.0084349456697489,0.00638304884734905,0.011273865761526
2007-12-01,0.000160311335418749,4.29536098024588e-05,0.000433903912244029,0.0126614112727906,0.00655390035036075,0.020830360348396
2008-01-01,0.000152668636385102,5.42484930633254e-05,0.000355347754837219,0.0123559150363339,0.00736535763309056,0.0188506698776786
2008-02-01,0.000157421600320613,8.5559499737469e-05,0.000274093395191574,0.0125467764912193,0.00924983782222526,0.0165557662218205
2008-03-01,0.00014941928496496,9.94463255437832e-05,0.000224042105183746,0.0122237181317699,0.00997227785131277,0.0149680361164632
2008-04-01,0.0001403458610764,9.83874141338348e-05,0.000200171462080172,0.0118467658488045,0.00991904300493928,0.0141481964249926
2008-05-01,0.000125145691229504,9.51310590288602e-05,0.000165428395095212,0.0111868534999572,0.00975351521395544,0.0128618970255251
